name,folder,driveId,url,reason
"8 Karren Terrace EICR, 29.6.27.pdf","Certificates folder/Damian Murray/8 Karen Terrace","1MlxEoQVSikOGWwT6StT0GqG28ydvZ8nc","https://drive.google.com/file/d/1MlxEoQVSikOGWwT6StT0GqG28ydvZ8nc/view","8 Karen Terrace is not in the Zoho property list"
"8 Karren Terrace EPC.pdf","Certificates folder/Damian Murray/8 Karen Terrace","1GZI7ZH17HnHD2XlqpmezGHMcGMBHHDib","https://drive.google.com/file/d/1GZI7ZH17HnHD2XlqpmezGHMcGMBHHDib/view","8 Karen Terrace is not in the Zoho property list"
"EICR -  Catt Hallway 17-03-2030.pdf","Electric certificates (1y1_ZYVy)","1PhyUhRRp0CRryl250-kYzPsfhwNzVYeE","https://drive.google.com/file/d/1PhyUhRRp0CRryl250-kYzPsfhwNzVYeE/view","communal hallway EICR for Catterick House, not a flat"
"8 Karren Terrace EICR, 29.6.27.pdf","Electric certificates (1LEp2wQd)/DM - Property","1jT3XxpMHnLCb3kLHWsn0mRZmg8MxOc4q","https://drive.google.com/file/d/1jT3XxpMHnLCb3kLHWsn0mRZmg8MxOc4q/view","8 Karen Terrace is not in the Zoho property list"
"3 STOURHEAD GARDENS electric certificate.pdf","Electric certificates (1LEp2wQd)/Other Landlord","1G8TNKAJSHmKaAonepkfBBgMvtMiWq0Am","https://drive.google.com/file/d/1G8TNKAJSHmKaAonepkfBBgMvtMiWq0Am/view","3 Stourhead Gardens is not in the Zoho property list"
"Domestic EIC_Ref079443858379.pdf","Electric certificates (1LEp2wQd)/Other Landlord","10Cto4eIcAbAll_AieH7iZGi7vxGPrcGc","https://drive.google.com/file/d/10Cto4eIcAbAll_AieH7iZGi7vxGPrcGc/view","no address in name (certificate reference only)"
"47 WillmotRoad Electric certificate.pdf","Electric certificates (1LEp2wQd)/M S","1Bl6616ZGDdlNdsjN5lQhwTO3iKCDiIjw","https://drive.google.com/file/d/1Bl6616ZGDdlNdsjN5lQhwTO3iKCDiIjw/view","47 Wilmot Road is not in the Zoho property list"
"New Windmill Cottage elect cert (1).pdf","Electric certificates (1LEp2wQd)/Beamount","1I5JpucV73wUikiJ8rWpKJ2741kDbLd-X","https://drive.google.com/file/d/1I5JpucV73wUikiJ8rWpKJ2741kDbLd-X/view","Windmill Cottage is three Zoho records (216, 348, 352) plus the annexe; cannot tell which from the name"
"2018-11-21__gmail__EPC.pdf","Claude/05 Email Archive/Property Documents/_Unsorted","1VHtFFW2hlu5eI95sazC3uR1TlJH0iOf5","https://drive.google.com/file/d/1VHtFFW2hlu5eI95sazC3uR1TlJH0iOf5/view","no address in file name"
"2018-11-21__propertysauce-co__EPC.pdf","Claude/05 Email Archive/Property Documents/_Unsorted","1fJeidgeMfoD-bF0IDMawzSog69-aeTTA","https://drive.google.com/file/d/1fJeidgeMfoD-bF0IDMawzSog69-aeTTA/view","no address in file name"
"2019-09-18__propertysauce-co__Combined Property Health & Safety and Fire Risk Assessment.pdf","Claude/05 Email Archive/Property Documents/_Unsorted","1wT0Gcb-IJqq9Agm_U4QJVruk3oE-KFLB","https://drive.google.com/file/d/1wT0Gcb-IJqq9Agm_U4QJVruk3oE-KFLB/view","no address in file name"
"2019-09-18__propertysauce-co__EPC.PDF","Claude/05 Email Archive/Property Documents/_Unsorted","1cjQ4XAhBu0jEzh8oFKgYg2Qz5mt8jfXB","https://drive.google.com/file/d/1cjQ4XAhBu0jEzh8oFKgYg2Qz5mt8jfXB/view","no address in file name"
"2021-07-12__gmail__Gas Cert.pdf","Claude/05 Email Archive/Property Documents/_Unsorted","1jZu6Ycb3OBwMiPkoK7fG3I7NLaiZ2Sm5","https://drive.google.com/file/d/1jZu6Ycb3OBwMiPkoK7fG3I7NLaiZ2Sm5/view","no address in file name"
"2023-05-22__propertysauce-co__New Windmill Cottage elect cert (1).pdf","Claude/05 Email Archive/Property Documents/_Unsorted","1IxqqKYTSzUlBOI99qKLc5EZ21l2XlTAT","https://drive.google.com/file/d/1IxqqKYTSzUlBOI99qKLc5EZ21l2XlTAT/view","Windmill Cottage is three Zoho records (216, 348, 352) plus the annexe; cannot tell which from the name"
"2023-05-31__propertysauce-co__New Windmill Cottage elect cert (1).pdf","Claude/05 Email Archive/Property Documents/_Unsorted","1JXBXAeSpO0gog72fRyrCUiOEhvRSC5Do","https://drive.google.com/file/d/1JXBXAeSpO0gog72fRyrCUiOEhvRSC5Do/view","Windmill Cottage is three Zoho records (216, 348, 352) plus the annexe; cannot tell which from the name"
"2024-07-16__propertysauce-co__25 Powell Court - Gas Cert.pdf","Claude/05 Email Archive/Property Documents/_Unsorted","1steCQDpZ2iVXpFnzAc6TrHDVhj2T_li4","https://drive.google.com/file/d/1steCQDpZ2iVXpFnzAc6TrHDVhj2T_li4/view","25 Powell Court is not in the Zoho property list"
"2024-07-16__propertysauce-co__EPC 25 Powell Court.pdf","Claude/05 Email Archive/Property Documents/_Unsorted","1uijnMX5FgxBQPAQMVu9n7f04ezOhEq6u","https://drive.google.com/file/d/1uijnMX5FgxBQPAQMVu9n7f04ezOhEq6u/view","25 Powell Court is not in the Zoho property list"
"2024-09-10__propertysauce-co__Property license_.pdf","Claude/05 Email Archive/Property Documents/_Unsorted","1LLjqyEhYQFE53Cf1mnNU3abqOYfWouWL","https://drive.google.com/file/d/1LLjqyEhYQFE53Cf1mnNU3abqOYfWouWL/view","no address in file name"
"2024-10-28__propertysauce-co__Energy performance certificate (EPC) – Find an energy certificate – GOV.UK.pdf","Claude/05 Email Archive/Property Documents/_Unsorted","1EjhkQPH7aDoK7zo84AZzutzBT56vaoba","https://drive.google.com/file/d/1EjhkQPH7aDoK7zo84AZzutzBT56vaoba/view","no address in file name"
"2024-11-07__vicaragecourt__Energy performance certificate (EPC) – Find an energy certificate – GOV.UK.pdf","Claude/05 Email Archive/Property Documents/_Unsorted","14k5FpSMY6Cw04LEV3GogxlXvaEvWoptW","https://drive.google.com/file/d/14k5FpSMY6Cw04LEV3GogxlXvaEvWoptW/view","no address in file name"
"2025-12-02__propertysauce-co__47 Wilmot Road - EPC.pdf","Claude/05 Email Archive/Property Documents/_Unsorted","1T450Q1dBRh7aXg_4YmmQcB1pW_zUSvZX","https://drive.google.com/file/d/1T450Q1dBRh7aXg_4YmmQcB1pW_zUSvZX/view","47 Wilmot Road is not in the Zoho property list"
"2025-12-02__propertysauce-co__47 Wilmot Road - Gas Certificate.pdf","Claude/05 Email Archive/Property Documents/_Unsorted","1FvS3xhwebDVARlDEXqxojQK2Ccj92Pp9","https://drive.google.com/file/d/1FvS3xhwebDVARlDEXqxojQK2Ccj92Pp9/view","47 Wilmot Road is not in the Zoho property list"
"2025-12-02__propertysauce-co__47 Wilmot Road EICR 3-11-30.pdf","Claude/05 Email Archive/Property Documents/_Unsorted","1JhRo2PaXOO2vXo0-iR52cs_EeJqRlEcp","https://drive.google.com/file/d/1JhRo2PaXOO2vXo0-iR52cs_EeJqRlEcp/view","47 Wilmot Road is not in the Zoho property list"
"2025-12-04__propertysauce-co__47 Wilmot Road - EPC.pdf","Claude/05 Email Archive/Property Documents/_Unsorted","1R5C26-RcmvDy2nVkjzfDYAS5WrI1prbF","https://drive.google.com/file/d/1R5C26-RcmvDy2nVkjzfDYAS5WrI1prbF/view","47 Wilmot Road is not in the Zoho property list"
"2025-12-04__propertysauce-co__47 Wilmot Road - Gas Certificate.pdf","Claude/05 Email Archive/Property Documents/_Unsorted","1TMgQNRFjMH9YhI2D3H8OBmWLhhRzi3mM","https://drive.google.com/file/d/1TMgQNRFjMH9YhI2D3H8OBmWLhhRzi3mM/view","47 Wilmot Road is not in the Zoho property list"
"2025-12-04__propertysauce-co__47 Wilmot Road EICR 3-11-30.pdf","Claude/05 Email Archive/Property Documents/_Unsorted","14KimC17TxyVcL37nhewrCWdgzTVtQP4w","https://drive.google.com/file/d/14KimC17TxyVcL37nhewrCWdgzTVtQP4w/view","47 Wilmot Road is not in the Zoho property list"
