property_id,property_address,source,file,type,date_in_document,date_in_filename,address_in_document,text_layer,confidence,notes
2406742000000703006,1 Onslow Close E4 6QD,drive,"2024-08-01__gmail__Gas cert for 1 Onslaw Close E4 6QD, 1.1.2021pdf.jpeg",gas,,2021-01-01,,no,low,"email date 2024-08-01; matched by filename (medium: street:0.85,housenum,postcode); scanned, no text"
2406742000000703006,1 Onslow Close E4 6QD,drive,"2024-08-01__gmail__Gas cert for 1 Onslaw Close E4 6QD, 1.2.2024.pdf",gas,,2024-02-01,OCR: kW/h or Btuh or heat input Pass/FailNA Yes/No Pass/FaiVNA Pass/FailNA (if applicable) Yes/No Yes/No Pass/Fai/NA Yes/No Name (Mr/Mrs/Miss/Ms),no,low,"email date 2024-08-01; matched by filename (medium: street:0.85,housenum,postcode); scanned, no text"
2406742000000703006,1 Onslow Close E4 6QD,drive,"2024-08-01__gmail__Gas cert for 1 Onslaw Close E4 6QD, 12.1.2022pdf.jpeg",gas,,2022-01-12,OCR: Name (Mr/Mrs/Miss/Ms) LAC 820655 Outcome of gas tightness test? Number of Appliances tested Details of Registered Business Ges Safe Register,no,low,"email date 2024-08-01; matched by filename (medium: street:0.85,housenum,postcode); scanned, no text"
2406742000000703006,1 Onslow Close E4 6QD,zoho,"Gas cert for 1 Onlow Close, E4, 20march2026.pdf",gas,,,"OCR: Name (Mr/Mrs/Miss/Ms) 1239ku Pesr Pasr Pass 8:0008 NO Yes Addss | onslow cloce Safety Related Defect(s) Identified Postcode aç. AR, L E4 600",no,low,"attached to Zoho 2025-03-24; scanned, no text"
2406742000000703006,1 Onslow Close E4 6QD,zoho,"Gas cert for 1 Onslaw Close E4 6QD, 2024.pdf",gas,,,OCR: kW/h or Btuh or heat input Pass/FailNA Yes/No Pass/FaiVNA Pass/FailNA (if applicable) Yes/No Yes/No Pass/Fai/NA Yes/No Name (Mr/Mrs/Miss/Ms),no,low,"attached to Zoho 2024-02-06; scanned, no text"
2406742000000703006,1 Onslow Close E4 6QD,zoho,Gas cert for 1 Onslow Close 5-nov-2026.pdf,gas,,2026-11-05,OCR: Postcode Contact No Address 1 Postcode Contact No Contact No Lone Postcode Serial No 8178,no,low,"attached to Zoho 2025-11-17; scanned, no text"
2406742000000703006,1 Onslow Close E4 6QD,zoho,Gas certificate.jpeg,gas,,,,no,low,"attached to Zoho 2022-02-11; image attachment, not downloaded"
2406742000000703006,1 Onslow Close E4 6QD,zoho,1 Onslow Close Gas cert. 10.1.24.pdf,gas,2024-01-10,2024-01-10,Name: Murray & sullivan Address: 1 Onslow Close London Postcode: e46qd Contact Number: Appliance Details Location Type Manufacturer Model Ow,yes,high,attached to Zoho 2023-01-18; next check due
2406742000000703006,1 Onslow Close E4 6QD,drive,"2024-08-01__gmail__Gas cert for 1 Onslaw Close E4 6QD, 10.1.2023pdf.pdf",gas,2024-01-10,2023-01-10,Name: Murray & sullivan Address: 1 Onslow Close London Postcode: e46qd Contact Number: Appliance Details Location Type Manufacturer Model Ow,yes,medium,"email date 2024-08-01; matched by filename (medium: street:0.85,housenum,postcode); next check due"
2406742000000703006,1 Onslow Close E4 6QD,zoho,1 Onslow close license Note.png,licence,,,,no,low,"attached to Zoho 2023-12-06; image attachment, not downloaded"
2406742000000703006,1 Onslow Close E4 6QD,zoho,Property Licence (2).PDF (1) 1 Onslow Close 31.03.2020.pdf,licence,,2020-03-31,OCR: 1 Onslow Close,no,low,"attached to Zoho 2019-12-19; scanned, no text; OCR (unverified) valid until: 2020-03-31"
2406742000000266403,1 Valley Side Parade E4 8AJ,zoho,1 Valley Side Electric Certificate.pdf,EIC,,,,no,low,"attached to Zoho 2019-06-10; scanned, no text"
2406742000000266403,1 Valley Side Parade E4 8AJ,zoho,"1 Vaalyside Prade Electric cert, 16.5.28.pdf",EICR,,2028-05-16,OCR: CHING FORD woos FORD GILREN 1ESSEX LON DON Postcode 16 884 J TelNo:0794/029741 Postcode: Tel No: Postoode E 4 8AJ Tal No: PART 2: PURPOSE OF,no,low,"attached to Zoho 2023-05-23; scanned, no text"
2406742000000266403,1 Valley Side Parade E4 8AJ,zoho,EPC 1 valley.pdf,EPC,,,"OCR: 1, Valley Side Parade,",no,low,"attached to Zoho 2019-06-10; scanned, no text; OCR (unverified) date of certificate 2010-03-17 + 10 years - 1 day (gov.uk convention): 2020-03-16"
2406742000000266403,1 Valley Side Parade E4 8AJ,drive,2016-01-26__vicaragecourt__EPC.pdf(SU00270005.10.B0F8B).pdf,EPC,2020-03-16,,"16 March 2010 1, Valley Side Parade, LONDON, E4 8AJ",yes,medium,email date 2016-01-26; date of certificate 2010-03-17 + 10 years - 1 day (gov.uk convention); matched by address in document (filename has no address)
2406742000000266403,1 Valley Side Parade E4 8AJ,zoho,"1 Valley Side Parade, EPC,14.03.2030.pdf",EPC,2030-03-13,2030-03-14,"1, Valley Side Parade, LONDON, E4 8AJ",yes,high,attached to Zoho 2020-03-16; date of certificate 2020-03-14 + 10 years - 1 day (gov.uk convention)
2406742000000266403,1 Valley Side Parade E4 8AJ,zoho,1 Valley Gas certificate.pdf,gas,,,OCR: --- page 1 --- Report pages 1 of 2 is protectve equipotential bonding satisfactory? 72182405 IG1 3ED,no,low,"attached to Zoho 2019-06-10; scanned, no text; OCR (unverified) next check due: 2019-07-19"
2406742000000266403,1 Valley Side Parade E4 8AJ,zoho,"1 Vally side prade gas certificate,3.6.2021.jpeg",gas,,2021-06-03,,no,low,"attached to Zoho 2020-06-05; image attachment, not downloaded"
2406742000000266403,1 Valley Side Parade E4 8AJ,zoho,1 Velly Side Gas certificate 17.6.22.jpeg,gas,,2022-06-17,,no,low,"attached to Zoho 2021-06-23; image attachment, not downloaded"
2406742000000266403,1 Valley Side Parade E4 8AJ,zoho,Gas Certificate - 1 Valley side parade 17 Nov 2024.pdf,gas,,2024-11-17,OCR: Name (Mr/Mrs/Miss/Ms) Outcome of gas tightness test? Number of Appliances tested Name (Mr/Mrs/Miss/Ms) Postcode E4 SAT LAD 585255 04 Jat Cal,no,low,"attached to Zoho 2024-06-26; scanned, no text"
2406742000000266403,1 Valley Side Parade E4 8AJ,zoho,Gas Certificate Ref40397093.pdf,gas,,,,no,low,"attached to Zoho 2019-07-09; scanned, no text"
2406742000000266403,1 Valley Side Parade E4 8AJ,zoho,"Gas cert for 1 Valley Side Parade, E4 8AJ,24 Nov 2026.pdf",gas,,2026-11-24,OCR: safetyshop.co.uk 662141 Registered Engineer's Neshwan Yakya Mehued Duan Mung +Reynond Pullwon E143QT,no,low,"attached to Zoho 2025-12-01; scanned, no text"
2406742000000266403,1 Valley Side Parade E4 8AJ,zoho,Gas cert for 1 Valley Side parade E4 17-NOV-2025.pdf,gas,,2025-11-17,OCR: Pass/FailNA Yes/No Pass/FalVNAPass/FaiVNA Yes/No Yes/No scatton ented Teated Name (Mr/Mrs/Miss/Ms) 24.1k Puss Yes Pak - Par 0.0009 N0 tes Ad,no,low,"attached to Zoho 2024-11-22; scanned, no text"
2406742000000266403,1 Valley Side Parade E4 8AJ,zoho,"1 Velly Side Prade gas  certificate, 4.7.23.pdf",gas,2023-07-04,2023-07-04,Name: D Murray & R Sullivan Address: 1 Valley Side Parade London Postcode: e48aj Contact Number: Appliance Details Location Type Manufacture,yes,high,attached to Zoho 2022-07-05; next check due
2406742000000266403,1 Valley Side Parade E4 8AJ,zoho,1 Valley Side License Note.png,licence,,,,no,low,"attached to Zoho 2023-12-06; image attachment, not downloaded"
2406742000000266403,1 Valley Side Parade E4 8AJ,zoho,Property license 1 valley.pdf,licence,,,OCR: 1 Valley Side Parade,no,low,"attached to Zoho 2019-06-10; scanned, no text; OCR (unverified) valid until: 2020-03-31"
2406742000003304001,"10 Claremont Road, E17 5RJ",zoho,10 Claremount EPC 24.01.2029.pdf,EPC,2029-01-26,2029-01-24,"10, Claremont Road, LONDON, E17 5RJ",yes,high,attached to Zoho 2019-12-12; date of certificate 2019-01-27 + 10 years - 1 day (gov.uk convention)
2406742000003304001,"10 Claremont Road, E17 5RJ",zoho,10 Claremont Road Electric Cert.jpeg,electrical,,,,no,low,"attached to Zoho 2023-01-26; image attachment, not downloaded"
2406742000003304001,"10 Claremont Road, E17 5RJ",zoho,10_CLAREMONT Electric Certificate 7.01.2023.pdf,electrical,,2023-01-07,,no,low,"attached to Zoho 2019-12-12; text layer is the blank NICEIC form template (sample data), real certificate is an image; scanned, no text"
2406742000003304001,"10 Claremont Road, E17 5RJ",zoho,10 Claremont Road E17 5RJ Gas cert 7.6.23.pdf,gas,,2023-06-07,OCR: kW/h or Btu/h Pass/Fail/NA Yes/No Pass/Fai/NA Pass/Fail/NA (if applicable) Yes/No Yes/No Pass/Fai/NA Yes/No Name (Mr/Mrs/Miss/Ms) 19mbr Pass,no,low,"attached to Zoho 2023-06-08; scanned, no text"
2406742000003304001,"10 Claremont Road, E17 5RJ",zoho,10 Claremont Road E17 Gas Cert 06-06-25.pdf,gas,,2025-06-06,OCR: Name (Mr/Mrs/Miss/Ms) Name (Mr/Mrs/Miss/Ms) Gas Safe Register No. LAD 585284 Outcome of gas tightness test? Number of Appliances tested Deta,no,low,"attached to Zoho 2024-06-24; scanned, no text"
2406742000003304001,"10 Claremont Road, E17 5RJ",zoho,10 Claremont Road Gas cert. 19.1.23.jpeg,gas,,2023-01-19,,no,low,"attached to Zoho 2022-01-24; image attachment, not downloaded"
2406742000003304001,"10 Claremont Road, E17 5RJ",zoho,"10 Claremont Road, Gas certificate - 6.4.2021.jpg",gas,,2021-04-06,,no,low,"attached to Zoho 2020-04-10; image attachment, not downloaded"
2406742000003304001,"10 Claremont Road, E17 5RJ",zoho,10 Claremont road e17 Gas cert - 2 Oct 2026.pdf,gas,,2026-10-02,OCR: PATWITA Pastaina Tea To Name (Mc/Mrs/Miss/Ms) atae las Yes Pass Pasc 0.0009 No Ya) Klaal. Address la C Laremnt Rend Tro_re: Safety Related D,no,low,"attached to Zoho 2025-10-03; scanned, no text"
2406742000003304001,"10 Claremont Road, E17 5RJ",zoho,10 calmenont Gas Cert 3-oct-2026.pdf,gas,,2026-10-03,OCR: Yes Pass Past 0.0009 No Yes Htale FamLra: PassPei Name (Mr/Mrs/Miss/Ms) 29.1kw Pass 2 Passal Pats Fei Address 10 C laremont Road 3 Pass) Fam,no,low,"attached to Zoho 2026-02-25; scanned, no text"
2406742000003304001,"10 Claremont Road, E17 5RJ",zoho,Gas Certificate 10 Claremount 22.03.2020.pdf,gas,,2020-03-22,,no,low,"attached to Zoho 2019-12-12; scanned, no text"
2406742000003304001,"10 Claremont Road, E17 5RJ",zoho,10 Claremont road- gas cert.22.1.2022.pdf,gas,2022-01-20,2022-01-22,Company / Installer Engineer Ben Company Ben Olive Tree Centre 472a Larkshall Rd Highams Park E4 9HH,yes,medium,attached to Zoho 2021-04-13; next check due; address in document not confirmed
2406742000003304001,"10 Claremont Road, E17 5RJ",zoho,10 Claremont Road Gas cert. 10.1.24.pdf,gas,2024-01-10,2024-01-10,Name: Beaumont residential Address: 10 Claremont Road London Postcode: e175rj Contact Number: Appliance Details Location Type Manufacturer M,yes,high,attached to Zoho 2023-01-18; next check due
2406742000003304001,"10 Claremont Road, E17 5RJ",zoho,PROPERTY LICENCE 10 CLAREMONT ROAD 31.03.2020.pdf,licence,,2020-03-31,OCR: 10 Claremont Road,no,low,"attached to Zoho 2019-12-12; scanned, no text; OCR (unverified) valid until: 2020-03-31"
2406742000003304001,"10 Claremont Road, E17 5RJ",zoho,10 Claremont Property License 21 Jan 2030.pdf,licence,2030-01-21,2030-01-21,"10, Claremont Road London E17 5RJ",yes,high,attached to Zoho 2025-01-22; expiry date
2406742000003304001,"10 Claremont Road, E17 5RJ",zoho,Landlord Licence - 10 Claremont - 21 Jan 2030.pdf,licence,2030-01-21,2030-01-21,"10, Claremont Road London E17 5RJ",yes,high,attached to Zoho 2026-09-02; expiry date
2406742000080405037,"10 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",zoho,Flat 10 Lancaster - EICR_Ref22075651_compressed.pdf,EICR,,,"OCR: 10 Lancaster House, Brownrigg Drive Cramlington Northumberland NE23 6UN Description of premises: Domestic N/A Commercial N/A Industrial N/A ",no,low,"attached to Zoho 2026-05-19; scanned, no text; OCR (unverified) next inspection date: 2031-05-16"
2406742000080405037,"10 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",zoho,EPC - 10 Lancaster.pdf,EPC,2036-04-12,,10 Lancaster House Brownrigg Drive CRAMLINGTON NE23 6UN,yes,high,attached to Zoho 2026-05-19; valid until
2406742000001876907,"10 Tudor Court, E17 8ET",zoho,10 tudor court EICR - 16-1-31.pdf,EICR,,2031-01-16,"OCR: 7 NORTHVIEW DRIVE Name: ARRAY RESUDENTIAL UPRN: WODDEOR) GRBRN ESSEX Address: F.F. COOPERS LANE Address: l0, TuDRn CourT Postcode: /4884J LE",no,low,"attached to Zoho 2026-02-06; scanned, no text"
2406742000001876907,"10 Tudor Court, E17 8ET",zoho,10 Tudor Court EPC.pdf,EPC,,,"OCR: 10, Tudor Court",no,low,"attached to Zoho 2019-01-31; scanned, no text; OCR (unverified) date of certificate 2011-09-20 + 10 years - 1 day (gov.uk convention): 2021-09-19"
2406742000001876907,"10 Tudor Court, E17 8ET",zoho,10 Tudor Court EPC.pdf,EPC,2021-09-19,,"10, Tudor Court",yes,high,attached to Zoho 2020-03-25; date of certificate 2011-09-20 + 10 years - 1 day (gov.uk convention)
2406742000001876907,"10 Tudor Court, E17 8ET",zoho,10 Tudor Court EPC 6.8.2031.pdf,EPC,2031-09-06,2031-08-06,10 Tudor Court LONDON E17 8ET,yes,high,attached to Zoho 2021-09-08; valid until
2406742000001876907,"10 Tudor Court, E17 8ET",zoho,"10 Tudor Court, E17 8ET, Gas Cert,24.4.24.pdf",gas,,2024-04-24,OCR: KW/h or Btuh or heat input Pass/Fail/NA Yes/No Pass/Fail/NA Pass/Fail/NA (if applicable) Yes/No Yes/No Pass/Fail/NA Yes/No Name (PMrs/Miss/M,no,low,"attached to Zoho 2023-05-01; scanned, no text"
2406742000001876907,"10 Tudor Court, E17 8ET",zoho,10 Tudor Court. Gas certificate.1.4.22.jpg,gas,,2022-04-01,,no,low,"attached to Zoho 2021-04-07; image attachment, not downloaded"
2406742000001876907,"10 Tudor Court, E17 8ET",zoho,10 Tudor Gas Certificate Ref40672601 (1).pdf,gas,,,,no,low,"attached to Zoho 2019-06-13; scanned, no text"
2406742000001876907,"10 Tudor Court, E17 8ET",zoho,"Gas Cert 10 Tudor Court E17, 27-04-25.pdf",gas,,2025-04-27,OCR: KW/h or Btuhh or heat input Pass FallNA Yeu No PassFaiNA MFWINA Name (Mr/Mrs/Miss/Ms) 23:4tJ Pass Paer Pass l coo 4 No Address l0 Tudor core,no,low,"attached to Zoho 2024-06-24; scanned, no text"
2406742000001876907,"10 Tudor Court, E17 8ET",zoho,"Gas cert for 10 Tudor Court E17, 22 April 2027.pdf",gas,,2027-04-22,,no,low,"attached to Zoho 2026-04-24; scanned, no text"
2406742000001876907,"10 Tudor Court, E17 8ET",zoho,10 Tudor - Gas Certificate - 20.3.2021.pdf,gas,2021-03-21,2021-03-20,staller Engineer Ediz Halil Company Master Gas London 83 Brookscroft Road Walthamstow LONDON E17 4JP,yes,medium,attached to Zoho 2020-04-03; next check due; address in document not confirmed
2406742000001876907,"10 Tudor Court, E17 8ET",zoho,"10 Tudor Court gas certificate, 24.4.23.pdf",gas,2023-04-24,2023-04-24,) VGHPVT0153 Make 2 Ventilation Provision Satisfactory (Yes/No) Appliance Inspected (Yes/No) E17 8ET,yes,medium,"attached to Zoho 2022-05-10; latest date in form (2022-04-25 inspection, form values separated from labels); address in document not confirmed"
2406742000001876907,"10 Tudor Court, E17 8ET",zoho,10 Tudor Court property licence.pdf,licence,,,OCR: Granting of a Private Rented Property Licence Address: First Floor Flat 10 Tudor Court Walthamstow London,no,low,"attached to Zoho 2023-12-15; scanned, no text; OCR (unverified) valid until: 2025-03-23"
2406742000001876907,"10 Tudor Court, E17 8ET",zoho,Landlord Licence - 10 Tudor Court.pdf,licence,2031-06-29,,"10, Tudor Court London E17 8ET",yes,high,attached to Zoho 2026-06-30; expiry date
2406742000002188109,102 New Road E4 9SY,zoho,102 NEW ROAD EICR 7-10-2030.pdf,EICR,,2030-10-07,OCR: T.6.P56000 55.CO0PE)2S LANE Address:. / O.2a. NEW RDAD) WOODFORD 4RRIZN ESSEX LEYTDN CHINSFDRD Postcode: 1488QJ Tel No:. Postcode: E105 D4 T,no,low,"attached to Zoho 2025-10-08; scanned, no text"
2406742000002188109,102 New Road E4 9SY,zoho,102 EPC.pdf,EPC,,,"OCR: 102, New Road,",no,low,"attached to Zoho 2019-06-13; scanned, no text; OCR (unverified) date of certificate 2010-03-19 + 10 years - 1 day (gov.uk convention): 2020-03-18"
2406742000002188109,102 New Road E4 9SY,drive,2019-08-19__vicaragecourt__EPC.pdf,EPC,2020-03-18,,"18 March 2010 102, New Road, LONDON, E4 9SY",yes,medium,email date 2019-08-19; date of certificate 2010-03-19 + 10 years - 1 day (gov.uk convention); matched by address in document (filename has no address)
2406742000002188109,102 New Road E4 9SY,zoho,"102 New Road, EPC - 7.4.2030.pdf",EPC,2030-04-07,2030-04-07,"102, New Road, LONDON, E4 9SY",yes,high,attached to Zoho 2020-04-09; date of certificate 2020-04-08 + 10 years - 1 day (gov.uk convention)
2406742000002188109,102 New Road E4 9SY,zoho,102 New Road  Electric Certificate 23.9.2025.pdf,electrical,,2025-09-23,,no,low,"attached to Zoho 2020-10-01; text layer is the blank NICEIC form template (sample data), real certificate is an image; scanned, no text"
2406742000002188109,102 New Road E4 9SY,zoho,102 New Road Gas Cert.pdf,gas,,,OCR: Business Address Postcode Contact No Address Postcode Contact No Address Postcode Contact No --- page 2 --- version 10| Copyright C July 201,no,low,"attached to Zoho 2020-10-06; scanned, no text"
2406742000002188109,102 New Road E4 9SY,zoho,102 New Road Gas cert 4.10.22.jpeg,gas,,2022-10-04,,no,low,"attached to Zoho 2021-10-06; image attachment, not downloaded"
2406742000002188109,102 New Road E4 9SY,zoho,"Gas Cert for 102 New Road, 26-oct-2025.pdf",gas,,2025-10-26,OCR: ass/rainA Pass/FailNA Pass/FalNA Tested Tested Name (Mr/Mrs/Miss/Ms) Rasl 0.0009 No HONO Address 102 New Road 7.8h PESs NfA N/A N/A No MONO ,no,low,"attached to Zoho 2024-11-05; scanned, no text"
2406742000002188109,102 New Road E4 9SY,zoho,Gas Cert for 102 new road 1-11-26.pdf,gas,,2026-11-01,OCR: Tested Locttior Tested 23.610 Pass Name (Mr/Mrs/Miss/Ms) Yes Pass Pass 8.0v0i0 No Yes Pass FallC PoenFnt 20mtr Dass Yes N/4 N/A N/A N0 tel P,no,low,"attached to Zoho 2025-11-05; scanned, no text"
2406742000002188109,102 New Road E4 9SY,zoho,Gas Safe 2021 - 102 New Rd.pdf,gas,,,,no,low,"attached to Zoho 2024-12-01; scanned, no text; OCR (unverified) next check due: 2022-10-05"
2406742000002188109,102 New Road E4 9SY,zoho,Gas cert for 102 New Road. 4.10.24.pdf,gas,,2024-10-04,OCR: Name (Mr/Mrs/Miss/Ms) Name (Mr/Mrs/Miss/Ms) Gas Safe Register No LAD 181549 Outcome of gas tightness test? Number of Appliances tested Detai,no,low,"attached to Zoho 2023-10-06; scanned, no text"
2406742000002188109,102 New Road E4 9SY,zoho,New 102 New Rd gas certificate.pdf,gas,,,,no,low,"attached to Zoho 2020-10-27; scanned, no text"
2406742000002188109,102 New Road E4 9SY,zoho,102 New Road - Landlord Licence Refusal Letter - D Murray & R Sullivan_WAL-957173289312.pdf,licence,,,"102, New Road London E4 9SY",yes,low,attached to Zoho 2025-05-15; no key date found in text
2406742000002188109,102 New Road E4 9SY,zoho,102 new Road - Landlord Licence Application.png,licence,,,,no,low,"attached to Zoho 2025-06-16; image attachment, not downloaded"
2406742000080276036,"12 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",zoho,Flat 12 Lancaster - EICR_Ref2675805.pdf,EICR,,,"OCR: 12 Lancaster House, Brownrigg Drive Cramlington Northumberland NE23 6UN Description of premises: Domestic N/A Commercial N/A Industrial N/A ",no,low,"attached to Zoho 2026-05-18; scanned, no text; OCR (unverified) next inspection date: 2031-05-16"
2406742000080276036,"12 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",zoho,EPC - 12 Lancaster.pdf,EPC,2036-04-12,,12 Lancaster House Brownrigg Drive CRAMLINGTON NE23 6UN,yes,high,attached to Zoho 2026-05-18; valid until
2406742000002188100,"122 Morley Road, E10 6LL",zoho,122 Morley Road Electric Certificate 12.03.2024.pdf,EICR,,2024-03-12,OCR: Purpose for which report is required Оссирieт Address inspection available this --- page 2 --- Original (To the person ordering the wark) DP,no,low,"attached to Zoho 2019-11-21; scanned, no text"
2406742000002188100,"122 Morley Road, E10 6LL",zoho,EICR_122 Morley Road - 14.2.29.pdf,EICR,,2029-02-14,"OCR: 122 Morley road , Leyton , London , E10 Email: N/A Annual check Date(s) inspection and testing carried out: 14/02/2024 Occupier: N/A Address",no,low,"attached to Zoho 2024-02-15; scanned, no text; OCR (unverified) inspection 2024-02-14 + 5 years (interval not found): 2029-02-14"
2406742000002188100,"122 Morley Road, E10 6LL",zoho,122 Morley Rd EPC 22.04.2029.pdf,EPC,2029-04-22,2029-04-22,"122, Morley Road, LONDON, E10 6LL",yes,high,attached to Zoho 2019-11-21; date of certificate 2019-04-23 + 10 years - 1 day (gov.uk convention)
2406742000002188100,"122 Morley Road, E10 6LL",zoho,"112 Morley Road E10, Gas Cert.17.5.24.pdf",gas,,2024-05-17,OCR: Name (Mr/Mrs/Miss/Ms) Postcode ElO Name (Mr/Mrs/Miss/Ms) Gas Safe Register No LAD 181516 Outcome of gas tightness test? Number of Appliances,no,low,"attached to Zoho 2023-05-23; scanned, no text"
