name,gas,eicr,epc,lic,ins,rent,ten,gasapp
"23 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-03-24,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-04-17->None,No Gas Supply - N/A
"32a Lancaster House, Brownrigg Dr, Cramlington NE23 6UN",N/A,ok 2031-03-24,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,500,2026-04-01->None,No Gas Supply - N/A
"21 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-03-24,ok 2036-04-11,N/A (Exempt From Licensing),MISSING,650,2026-04-14->None,No Gas Supply - N/A
"36 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-06-01,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,695,None->None,No Gas Supply - N/A
"26a Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-03-24,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,550,None->None,No Gas Supply - N/A
"19 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-03-24,ok 2036-04-11,N/A (Exempt From Licensing),MISSING,640,2026-04-20->None,No Gas Supply - N/A
"22 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-03-24,ok 2036-04-11,N/A (Exempt From Licensing),MISSING,650,2026-04-01->None,No Gas Supply - N/A
"26 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-03-24,ok 2036-03-31,N/A (Exempt From Licensing),MISSING,550,2026-04-01->None,No Gas Supply - N/A
"20 Lancaster House, Brownrigg Dr, Cramlington NE23 6UN",N/A,ok 2031-03-24,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-06-19->None,No Gas Supply - N/A
"18 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-03-24,ok 2036-03-31,N/A (Exempt From Licensing),MISSING,695,2026-04-01->None,No Gas Supply - N/A
"17 Lancaster House, Brownrigg Dr, Cramlington NE23 6UN",N/A,ok 2031-03-24,ok 2036-04-11,N/A (Exempt From Licensing),MISSING,650,2026-04-01->None,No Gas Supply - N/A
15 Fulready Road London E10 6DT,DUE 2026-11-02,ok 2030-11-12,ok 2035-11-24,MISSING,MISSING,2500,2025-12-15->None,Gas Supply - CP12 Required
Lancaster Residential Group Limited NE23 6UN,MISSING,MISSING,MISSING,N/A (Exempt From Licensing),EXPIRED 2026-09-08,31595,None->None,Not Yet Confirmed
"39 Palatine Road, Blackpool FY1 4BX",MISSING,ok 2029-02-19,ok 2034-04-24,ok 2030-03-31,MISSING,1741,None->None,Not Yet Confirmed
"The Annexe, Windmill Cottage, Braintree Road, Sible Hedingham, CO9 3RL",N/A,ok 2029-08-10,ok 2036-08-19,MISSING,MISSING,795,2026-08-22->None,No Gas Supply - N/A
"The Annexe, Joan Elaine Cottage, Braintree Road, Sible Hedingham CO9 3RL",N/A,ok 2029-08-10,ok 2036-08-19,MISSING,MISSING,820,2025-08-30->None,No Gas Supply - N/A
"Flat C, Hollybush Lodge, 32 Grange Rd, E10 5JD",MISSING,ok 2029-10-21,ok 2035-01-05,EXPIRED 2025-03-23,EXPIRED 2024-12-04,1150,2022-12-30->2024-12-29,Gas Supply - CP12 Required
32D Hollybush Lodge E10 5JD,MISSING,ok 2028-02-08,ok 2030-10-07,ok 2028-08-16,MISSING,1250,2023-04-17->2024-04-16,Not Yet Confirmed
"4 High Street, Saffron Walden, Essex, CB10 1AY",ok 2027-01-15,ok 2027-05-23,ok 2032-05-25,MISSING,EXPIRED 2024-12-04,3000,None->None,Gas Supply - CP12 Required
Windmill Cottage 1 - Richard Furlong,N/A,ok 2030-10-16,ok 2030-09-22,MISSING,EXPIRED 2023-11-06,450,2020-07-14->2021-07-13,No Gas Supply - N/A
Windmill Cottage Braintree Road Sible Hedingham CO9 3RL,N/A,ok 2030-10-16,ok 2030-09-22,MISSING,EXPIRED 2024-06-05,1378,2023-05-30->2024-05-29,No Gas Supply - N/A
Windmill Cottage 2,N/A,MISSING,ok 2030-09-22,MISSING,EXPIRED 2022-10-18,1200,2020-07-14->2021-07-13,No Gas Supply - N/A
8 Karen Terrace E11 3HA - DM,ok 2027-01-15,ok 2027-06-28,ok 2029-02-11,EXPIRED 2020-03-31,EXPIRED 2023-07-01,1100,2017-04-18->2018-04-17,Gas Supply - CP12 Required
171 Farmer Road - E10 5DJ,EXPIRED 2023-01-11,MISSING,ok 2030-03-31,MISSING,EXPIRED 2022-01-31,1400,2021-06-01->2022-05-31,Gas Supply - CP12 Required
"Joan Elaine Cottage, CO9 3RL",N/A,ok 2030-04-26,ok 2030-09-22,N/A (Exempt From Licensing),EXPIRED 2024-12-04,1300,2026-04-18->2024-07-27,No Gas Supply - N/A
"Flat 9, 35 Lord Street, Blackpool, FY1 2BD",N/A,ok 2030-09-23,ok 2029-03-12,MISSING,EXPIRED 2023-11-19,510,None->2024-08-10,No Gas Supply - N/A
"Flat 8, 35 Lord Street, Blackpool, FY1 2BD",N/A,ok 2030-09-23,ok 2029-03-12,MISSING,EXPIRED 2023-11-19,393,2021-03-25->2021-09-24,No Gas Supply - N/A
"Flat 7, 35 Lord Street, Blackpool, FY1 2BD",N/A,ok 2030-09-23,ok 2029-03-12,MISSING,EXPIRED 2023-11-19,583,2024-10-20->2026-07-28,No Gas Supply - N/A
"Flat 6, 35 Lord Street, Blackpool, FY1 2BD",N/A,ok 2030-09-23,ok 2034-01-30,MISSING,EXPIRED 2023-11-19,530,2025-02-28->2021-05-20,No Gas Supply - N/A
"Flat 5, 35 Lord Street, Blackpool, FY1 2BD",N/A,ok 2030-09-23,ok 2034-04-06,MISSING,EXPIRED 2023-11-19,370,2022-10-24->2025-10-23,No Gas Supply - N/A
"Flat 4, 35 Lord Street, Blackpool, FY1 2BD",N/A,ok 2030-09-23,ok 2029-03-05,MISSING,EXPIRED 2023-11-19,500,2026-06-15->2024-01-19,No Gas Supply - N/A
"Flat 3, 35 Lord Street, Blackpool, FY1 2BD",N/A,ok 2030-09-23,ok 2034-01-30,MISSING,EXPIRED 2023-11-19,472,2024-07-03->2026-02-06,No Gas Supply - N/A
"Flat 2, 35 Lord Street, Blackpool, FY1 2BD",N/A,ok 2030-09-23,ok 2029-04-24,MISSING,EXPIRED 2023-11-19,420,2021-04-30->2021-10-29,No Gas Supply - N/A
"Flat 1, 35 Lord Street, Blackpool, FY1 2BD",N/A,ok 2030-09-23,ok 2030-10-31,ok 2030-03-31,EXPIRED 2026-02-02,441,2024-08-05->2026-04-20,No Gas Supply - N/A
"Flat 42, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-18,ok 2029-11-07,EXPIRED 2025-04-30,EXPIRED 2024-03-31,610,2026-02-28->2021-11-26,No Gas Supply - N/A
"Flat 41, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-18,ok 2029-11-06,EXPIRED 2025-04-30,EXPIRED 2024-03-31,600,2026-07-12->2022-07-08,No Gas Supply - N/A
"3 Stourhead Gardens, SW20 0UL",EXPIRED 2024-11-16,EXPIRED 2025-08-03,ok 2030-02-13,N/A (Exempt From Licensing),EXPIRED 2021-08-31,1150,2020-08-16->2021-08-15,Gas Supply - CP12 Required
"Flat 1, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-26,ok 2029-09-10,EXPIRED 2025-04-30,EXPIRED 2026-03-31,400,2019-09-27->2020-09-26,No Gas Supply - N/A
"Flat 2, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-26,ok 2029-09-10,EXPIRED 2025-04-30,EXPIRED 2024-03-31,590,2024-05-26->2024-05-25,No Gas Supply - N/A
"Flat 40, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-18,ok 2028-04-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,600,2026-05-09->2024-01-15,No Gas Supply - N/A
"Flat 28, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-22,ok 2032-12-14,EXPIRED 2025-04-30,EXPIRED 2024-03-31,600,2026-05-22->2020-10-17,No Gas Supply - N/A
"Flat 25, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-22,ok 2029-09-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,630,2025-05-10->2023-06-29,No Gas Supply - N/A
"Flat 8, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-25,ok 2029-09-10,EXPIRED 2025-04-30,EXPIRED 2024-03-31,669,2024-04-24->2022-08-30,No Gas Supply - N/A
"Flat 5, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-25,ok 2029-09-10,EXPIRED 2025-04-30,EXPIRED 2024-03-31,620,2025-08-22->2025-10-05,No Gas Supply - N/A
1 Lovinya Court Hillingdon Avenue Sevenoaks TN13 3QZ,ok 2026-12-16,ok 2030-04-09,ok 2032-04-11,N/A (Exempt From Licensing),EXPIRED 2026-04-30,1516,2024-01-20->2021-06-01,Gas Supply - CP12 Required
"Flat 5, 3 Bedford Place, Croydon CR0 2BS",MISSING,ok 2030-04-14,ok 2029-05-14,N/A (Exempt From Licensing),EXPIRED 2025-12-31,1300,2022-12-05->2023-12-04,Not Yet Confirmed
"6 January House, 28 Birdhurst Rise, CR2 7ED",ok 2026-11-25,ok 2030-04-14,ok 2029-06-04,N/A (Exempt From Licensing),EXPIRED 2026-05-31,1570,2024-06-20->2021-04-19,Gas Supply - CP12 Required
"Flat 23, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-21,ok 2032-03-29,EXPIRED 2025-04-30,EXPIRED 2024-03-31,595,2025-06-28->2023-10-14,No Gas Supply - N/A
"Flat 3, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-26,ok 2028-07-16,EXPIRED 2025-04-30,EXPIRED 2024-03-31,620,2025-08-26->2023-02-09,No Gas Supply - N/A
"Flat 4, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-17,ok 2034-08-20,EXPIRED 2025-04-30,EXPIRED 2024-03-31,620,2025-08-22->2023-08-22,No Gas Supply - N/A
"Flat 6, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-25,ok 2029-09-10,EXPIRED 2025-04-30,EXPIRED 2024-03-31,610,2025-10-23->2020-09-16,No Gas Supply - N/A
"Flat 7, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-25,ok 2027-02-01,EXPIRED 2025-04-30,EXPIRED 2024-03-31,790,2024-08-10->2020-10-21,No Gas Supply - N/A
"Flat 9, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-24,ok 2028-04-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,600,2026-05-16->2023-07-11,No Gas Supply - N/A
"Flat 10, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-24,ok 2028-08-15,EXPIRED 2025-04-30,EXPIRED 2024-03-31,620,2025-12-24->2024-06-30,No Gas Supply - N/A
"Flat 11, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-24,ok 2029-09-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,635,2020-10-05->2022-06-30,No Gas Supply - N/A
"Flat 12, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-23,ok 2029-09-11,EXPIRED 2025-04-30,EXPIRED 2022-03-31,620,2025-10-15->2023-04-28,No Gas Supply - N/A
"Flat 13, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-24,ok 2029-09-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,601,2023-10-08->2023-06-07,No Gas Supply - N/A
"Flat 14, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-23,ok 2029-09-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,630,None->2021-10-27,No Gas Supply - N/A
"Flat 15, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-23,ok 2032-12-14,EXPIRED 2025-04-30,EXPIRED 2024-03-31,646,2023-08-31->2020-10-30,No Gas Supply - N/A
"Flat 16, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-24,ok 2027-10-16,EXPIRED 2025-04-30,EXPIRED 2024-03-31,595,2024-11-19->2020-11-17,No Gas Supply - N/A
"Flat 17, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-23,ok 2028-02-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,765,2023-06-01->2024-05-31,No Gas Supply - N/A
"Flat 18, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-23,ok 2028-02-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,595,2025-07-09->2023-12-14,No Gas Supply - N/A
"Flat 19, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-22,ok 2035-10-13,EXPIRED 2025-04-30,EXPIRED 2024-03-31,630,2025-05-19->2023-08-15,No Gas Supply - N/A
"Flat 20, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-22,ok 2029-09-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,595,2023-01-02->2020-11-20,No Gas Supply - N/A
"Flat 21, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-21,ok 2029-09-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,610,2026-03-28->2024-07-13,No Gas Supply - N/A
"Flat 22, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-21,ok 2029-09-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,600,2026-07-18->2023-05-12,No Gas Supply - N/A
"Flat 24, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-21,ok 2031-07-25,EXPIRED 2025-04-30,EXPIRED 2024-03-31,630,2025-08-30->2024-03-21,No Gas Supply - N/A
"Flat 26, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-22,ok 2029-09-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,600,2025-12-22->2024-07-06,No Gas Supply - N/A
"Flat 27, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-21,ok 2027-12-18,EXPIRED 2025-04-30,EXPIRED 2024-03-31,737,2024-04-18->2024-04-17,No Gas Supply - N/A
"Flat 29, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-20,ok 2034-11-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,668,2024-03-18->2024-01-29,No Gas Supply - N/A
"Flat 30, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-20,ok 2029-09-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,646,2026-09-05->2022-10-28,No Gas Supply - N/A
"Flat 31, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-20,ok 2029-09-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,660,2023-09-04->2021-09-30,No Gas Supply - N/A
"Flat 39, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-18,ok 2029-09-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,595,2025-08-13->2022-09-29,No Gas Supply - N/A
"Flat 32, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-20,ok 2029-09-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,600,2026-07-19->2023-08-25,No Gas Supply - N/A
"Flat 33, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-20,ok 2029-09-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,630,2025-08-02->2023-08-22,No Gas Supply - N/A
"Flat 34, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-19,ok 2028-04-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,600,2026-07-19->2024-06-01,No Gas Supply - N/A
"Flat 35, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-19,ok 2029-09-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,620,2025-11-17->2021-10-29,No Gas Supply - N/A
"Flat 36, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-19,ok 2029-09-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,600,2026-07-04->2025-09-19,No Gas Supply - N/A
"Flat 37, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-19,ok 2029-09-11,EXPIRED 2025-04-30,EXPIRED 2024-03-31,720,None->2023-07-19,No Gas Supply - N/A
"Flat 38, Catterick House, Cottenham Road, S65 1LD",N/A,ok 2030-03-18,ok 2028-05-28,EXPIRED 2025-04-30,EXPIRED 2024-03-31,600,2026-05-09->2021-03-15,No Gas Supply - N/A
2 The Cornfields HP1 1UA,MISSING,ok 2030-04-06,ok 2029-04-03,MISSING,EXPIRED 2025-09-30,1246,2025-05-15->2022-06-25,Not Yet Confirmed
"49 Brighton Road, CR5 3EG",EXPIRED 2022-03-08,EXPIRED 2025-02-10,ok 2032-02-01,N/A (Exempt From Licensing),EXPIRED 2022-02-24,1200,2020-03-06->2021-03-05,Gas Supply - CP12 Required
"50 Green Pond Close, E17 6EE",MISSING,ok 2030-10-08,ok 2034-06-25,ok 2029-06-25,EXPIRED 2021-06-09,1298,2020-10-27->2021-10-26,Not Yet Confirmed
"3 Radley Court, 144 Selhurst Rd, London SE25 6LP",DUE 2026-10-03,ok 2029-11-24,ok 2030-02-02,EXPIRED 2020-09-30,EXPIRED 2026-06-27,1643,2023-09-29->2021-03-27,Gas Supply - CP12 Required
"52b Beedell Avenue, Southend-on-Sea, SS0 9JS",ok 2027-05-25,ok 2026-12-08,ok 2032-10-28,N/A (Exempt From Licensing),EXPIRED 2026-03-04,1219,None->2024-03-27,Gas Supply - CP12 Required
"Flat A, Hollybush Lodge, 32 Grange Rd, E10 5JD",ok 2027-07-14,ok 2028-06-04,ok 2032-04-12,N/A (Exempt From Licensing),EXPIRED 2024-12-04,1300,2024-07-20->2024-01-15,Gas Supply - CP12 Required
"Flat 1, 96 Pearcroft Road - E11 4DR",ok 2026-12-17,ok 2028-02-08,ok 2031-01-11,N/A (Exempt From Licensing),MISSING,1696,2019-01-24->2022-01-23,Gas Supply - CP12 Required
"45a Seaview Road, Shoeburyness, SS3 9DX",ok 2027-07-15,ok 2030-10-25,ok 2028-08-08,N/A (Exempt From Licensing),EXPIRED 2025-07-29,935,2021-04-26->2022-04-25,Gas Supply - CP12 Required
"Catterick House Main, Cottenham Road, Rotherham, S65 1LD",N/A,MISSING,MISSING,MISSING,MISSING,25436,None->None,No Gas Supply - N/A
"4 Mayford Close, Beckenham, BR3 4XS",MISSING,ok 2029-10-19,ok 2028-10-28,N/A (Exempt From Licensing),EXPIRED 2021-09-30,1400,2026-05-01->2021-04-05,Not Yet Confirmed
"127 C Grange Park, Leyton, E10 5ET",DUE 2026-10-16,ok 2030-06-24,ok 2027-07-24,EXPIRED 2025-11-08,EXPIRED 2025-12-16,1870,2020-06-17->2023-06-16,Gas Supply - CP12 Required
"50c North Birkbeck, E11 4JG",ok 2027-02-04,ok 2026-12-15,ok 2028-01-16,ok 2027-02-22,EXPIRED 2026-04-09,1944,2025-03-15->2023-11-25,Gas Supply - CP12 Required
"10 Claremont Road, E17 5RJ",DUE 2026-10-02,ok 2028-01-08,ok 2029-01-26,ok 2030-01-21,EXPIRED 2026-05-31,2392,2023-05-31->2024-05-30,Gas Supply - CP12 Required
"Flat C, Hollybush Lodge, 32 Grange Rd, E10 5JD - Duplicate",MISSING,EXPIRED 2024-05-18,EXPIRED 2023-09-14,EXPIRED 2025-03-16,EXPIRED 2020-04-09,1150,2019-11-12->2020-11-11,Not Yet Confirmed
"28a Kenilworth Gardens, IG10 3AF",MISSING,MISSING,EXPIRED 2020-11-10,MISSING,EXPIRED 2024-12-04,1250,None->None,Gas Supply - CP12 Required
"15 Heathcote Grove, E4 6RZ",DUE 2026-10-06,ok 2028-08-12,ok 2028-05-15,EXPIRED 2020-03-31,EXPIRED 2024-12-04,1050,2018-06-25->2019-06-20,Gas Supply - CP12 Required
