date,account,amount,description,reason,transaction_id
"2023-08-24","BUSINESS ACCOUNT","250.00","A MOHAN HOLDING DEPOSIT SY xxxxxxxxxxxxxx3574 309790 10 24AUG23 15:36","holding deposit from an applicant (Ops 02), not rent","1626078000003435011"
"2023-09-27","BUSINESS ACCOUNT","1300.00","MURRAY D F1, 474 LEA BRIDGE xxxxxxxxxxxxx3000N 601326 10 27SEP23 11:20","own company or director transfer (decision 6), not tenant rent","1626078000003550005"
"2023-10-10","BUSINESS ACCOUNT","1200.00","MURRAY D CRENIEREPAY xxxxxxxxxxxxx4000R 161614 10 10OCT23 10:28","own company or director transfer (decision 6), not tenant rent","1626078000003586005"
"2023-11-03","BUSINESS ACCOUNT","125.00","OLAOLUWA STEPHEN O HOLDING CATTERRICK REVxxxxxxxxxxx2493 040075 10 03NOV23 15:40","holding deposit from an applicant (Ops 02), not rent","1626078000003657005"
"2023-12-27","BUSINESS ACCOUNT","7065.10","KHAN MS&SS GROUND/SERVICE CH xxxxxxxxxxxxxx2101 404324 10 26DEC23 07:50","insurance, ground rent or service charge contribution (Freehold Management), not rent","1626078000003802027"
"2024-02-26","BUSINESS ACCOUNT","125.00","MAIDENS J HOLDING DEPOSIT xxxxxxxxxxxxx5000N 523050 10 24FEB24 14:12","holding deposit from an applicant (Ops 02), not rent","1626078000003993021"
"2024-04-02","BUSINESS ACCOUNT","775.00","BEAUMONT RESIDENTI xxxxxxxxxxx7860 01APR24","own company or director transfer (decision 6), not tenant rent","1626078000004172025"
"2024-05-16","BUSINESS ACCOUNT","1800.00","MURRAY D FF55COOPERS xxxxxxxxxxxxx7000R 161614 10 16MAY24 14:15","own company or director transfer (decision 6), not tenant rent","1626078000004374015"
"2024-05-31","BUSINESS ACCOUNT","1085.28","BEAUMONT RESIDENTI xxxxxxxxxxx7860","own company or director transfer (decision 6), not tenant rent","1626078000004444053"
"2024-07-05","BUSINESS ACCOUNT","250.00","SHAHZEB DAWOOD HOLDING DEPOSIT xxxxxxxxxxxxxx6689 776829 10 05JUL24 14:19","holding deposit from an applicant (Ops 02), not rent","1626078000004623005"
"2024-09-02","BUSINESS ACCOUNT","125.00","DAVIES A HOLDING FEE RPxxxxxxxxxxxx6600 202624 10 02SEP24 15:37","holding deposit from an applicant (Ops 02), not rent","1626078000004912027"
"2024-10-08","BUSINESS ACCOUNT","125.00","W ALI HOLDING DEPOSIT xxxxxxxxxxxxxx8387 110576 10 08OCT24 20:25","holding deposit from an applicant (Ops 02), not rent","1626078000005085144"
"2024-10-25","BUSINESS ACCOUNT","1800.00","MURRAY D FF55COOPERS xxxxxxxxxxxxx7000R 161614 10 25OCT24 12:58","own company or director transfer (decision 6), not tenant rent","1626078000005181019"
"2024-10-28","BUSINESS ACCOUNT","600.00","TANC RESIDENTIAL L 4HIGHST xxxxxxxxxxxxx5000N 600441 10 28OCT24 10:58","own company or director transfer (decision 6), not tenant rent","1626078000005198093"
"2024-11-19","BUSINESS ACCOUNT","20.00","PROPERTY SAUCE TEST CBBPIxxxxxxxxx8268 821974 10 19NOV24 20:27","own company or director transfer (decision 6), not tenant rent","1626078000005325021"
"2025-02-17","Property Sauce Deposit","1300.00","MOB, Property Sauce, JOAN ELIAN DEPOSIT","internal transfer between Property Sauce accounts","1626078000005862005"
"2025-02-18","BUSINESS ACCOUNT","53.00","DACORUM BOROUGH CO CD 6260","card refund or cashback","1626078000005843007"
"2025-02-27","Property Sauce Deposit","500.00","MOB, Property Sauce, F4 LORD ST DEPOSIT","internal transfer between Property Sauce accounts","1626078000005908463"
"2025-02-27","Property Sauce Deposit","500.00","MOB, Property Sauce, F6 LORD ST DEPOSIT","internal transfer between Property Sauce accounts","1626078000005908461"
"2025-04-09","BUSINESS ACCOUNT","2000.00","BEAUCATT HOMES LIM PAYMENTRETURN","own company or director transfer (decision 6), not tenant rent","1626078000006128127"
"2025-04-14","Property Sauce Deposit","1300.00","MOB, Property Sauce, DEPOSIT JOAN ELAIN","internal transfer between Property Sauce accounts","1626078000006152005"
"2025-04-23","Property Sauce Deposit","917.00","MOB, Property Sauce, ANNEX1 WIN DEPOSIT","internal transfer between Property Sauce accounts","1626078000006239013"
"2025-05-09","Property Sauce Deposit","595.00","MOB, Property Sauce, F25 DEPOSIT MCENER","internal transfer between Property Sauce accounts","1626078000006424127"
"2025-05-21","Property Sauce Deposit","595.00","MOB, Property Sauce, F19 MERCED DEPOSIT","internal transfer between Property Sauce accounts","1626078000006556122"
"2025-06-26","Property Sauce Deposit","595.00","MOB, Property Sauce, F23 SALEEM DEPOSIT","internal transfer between Property Sauce accounts","1626078000006980141"
"2025-07-03","Property Sauce Deposit","595.00","MOB, Property Sauce, F40 ZIGOVA DEPOSIT","internal transfer between Property Sauce accounts","1626078000007087037"
"2025-07-03","Property Sauce Deposit","595.00","MOB, Property Sauce, F22 KUDAMBO DEPOST","internal transfer between Property Sauce accounts","1626078000007087035"
"2025-07-08","Property Sauce Deposit","595.00","MOB, Property Sauce, F18 Chloe DEPOSIT","internal transfer between Property Sauce accounts","1626078000007146037"
"2025-07-22","Property Sauce Deposit","595.00","MOB, Property Sauce, F16 DEPOSIT IBITOY","internal transfer between Property Sauce accounts","1626078000007300009"
"2025-07-28","Property Sauce Deposit","595.00","MOB, Property Sauce, F33 DEPOSIT BASHAR","internal transfer between Property Sauce accounts","1626078000007348214"
"2025-08-11","Property Sauce Deposit","595.00","MOB, Property Sauce, F39 ALEX DEPOSIT","internal transfer between Property Sauce accounts","1626078000007548007"
"2025-08-19","Property Sauce Deposit","595.00","MOB, Property Sauce, F24 DEPOSIT ASLAM","internal transfer between Property Sauce accounts","1626078000007645013"
"2025-08-21","Property Sauce Deposit","620.00","MOB, Property Sauce, F4DEPOSIT LLESANMI","internal transfer between Property Sauce accounts","1626078000007669003"
"2025-08-22","Property Sauce Deposit","595.00","MOB, Property Sauce, F3 DEPOSIT IDJOGBE","internal transfer between Property Sauce accounts","1626078000007678007"
"2025-08-22","Property Sauce Deposit","620.00","MOB, Property Sauce, F5 DEPOSIT IPANDA","internal transfer between Property Sauce accounts","1626078000007678005"
"2025-09-02","Property Sauce Deposit","820.00","MOB, Property Sauce, ANNEX2 DANIEL DEPS","internal transfer between Property Sauce accounts","1626078000007801093"
"2025-09-03","Property Sauce Fee","2.75","CRD09VM CASHBACK","card refund or cashback","1626078000007825072"
"2025-10-22","Property Sauce Deposit","610.00","MOB, Property Sauce, F6 DEPOSIT CUPERKA","internal transfer between Property Sauce accounts","1626078000008352005"
"2025-10-22","Property Sauce Deposit","2300.00","MOB, Property Sauce, 26KENILWORTH DEPOS","internal transfer between Property Sauce accounts","1626078000008352003"
"2025-11-03","Property Sauce","100.00","FPS, Ethan Allen, holding deposit","holding deposit from an applicant (Ops 02), not rent","1626078000008499195"
"2025-11-03","Property Sauce Fee","0.20","CRD09VM CASHBACK","card refund or cashback","1626078000008499111"
"2025-11-05","Property Sauce","1219.00","FPS, Lancaster Resident, Accommodation","own company or director transfer (decision 6), not tenant rent","1626078000008519077"
"2025-11-11","Property Sauce","262.13","FPS, Moakesg+Cmorales, INSURE HAINAULT RD","insurance, ground rent or service charge contribution (Freehold Management), not rent","1626078000008591009"
"2025-11-12","Property Sauce","263.13","FPS, Perkins Alfred, 2 Hainault Ins","insurance, ground rent or service charge contribution (Freehold Management), not rent","1626078000008601017"
"2025-11-14","Property Sauce","20.00","FPS, Perkins Alfred, 2 Hainault Ins","insurance, ground rent or service charge contribution (Freehold Management), not rent","1626078000008680073"
"2025-11-14","Property Sauce","21.00","FPS, Moakesg+Cmorales, INSURE HAINAULT RD","insurance, ground rent or service charge contribution (Freehold Management), not rent","1626078000008680071"
"2025-11-14","Property Sauce Deposit","510.00","MOB, Property Sauce, F9 LORD ST DEPOSIT","internal transfer between Property Sauce accounts","1626078000008680089"
"2025-11-14","Property Sauce Deposit","620.00","MOB, Property Sauce, F35 DEPOSIT HOLLHO","internal transfer between Property Sauce accounts","1626078000008680087"
"2025-12-05","Property Sauce Fee","1.25","CRD09VM CASHBACK","card refund or cashback","1626078000009047177"
"2025-12-22","Property Sauce Deposit","600.00","MOB, Property Sauce, F32 CATT DEPOSIT","internal transfer between Property Sauce accounts","1626078000009819017"
"2025-12-22","Property Sauce Deposit","600.00","MOB, Property Sauce, F26 CATT DEPOSIT","internal transfer between Property Sauce accounts","1626078000009819015"
"2025-12-24","Property Sauce Deposit","620.00","MOB, Property Sauce, F10 CATT DEPOSIT","internal transfer between Property Sauce accounts","1626078000009819013"
"2025-12-29","BUSINESS ACCOUNT","509.47","RETURNED LOAN","loan drawdown or repayment","1626078000009163003"
"2026-01-05","Property Sauce Fee","1.62","CRD09VM CASHBACK","card refund or cashback","1626078000009555057"
"2026-01-23","Property Sauce","100.00","FPS, Joshua Blunt, HOLDING DEPOSIT","holding deposit from an applicant (Ops 02), not rent","1626078000009509007"
"2026-02-03","Property Sauce Fee","0.38","CRD09VM CASHBACK","card refund or cashback","1626078000009680089"
"2026-02-16","Property Sauce","125.00","FPS, A Johnstone, Holding deposit","holding deposit from an applicant (Ops 02), not rent","1626078000009807235"
"2026-02-19","Property Sauce","125.00","FPS, Katie Morrin, holding deposit","holding deposit from an applicant (Ops 02), not rent","1626078000009864021"
"2026-02-24","Property Sauce Deposit","610.00","MOB, Property Sauce, F42 CATT DEPOSIT","internal transfer between Property Sauce accounts","1626078000009918003"
"2026-02-27","BUSINESS ACCOUNT","450.00","PROPERTY SAUCE WALTHAM FOREST COV CBBPIxxxxxxxxx4071 821974 10 27FEB26 11:07","own company or director transfer (decision 6), not tenant rent","1626078000009957754"
"2026-02-27","Property Sauce Deposit","720.00","MOB, Property Sauce, F37 CATTER DEPOSIT","internal transfer between Property Sauce accounts","1626078000009957760"
"2026-03-03","Property Sauce Fee","0.80","CRD09VM CASHBACK","card refund or cashback","1626078000010024013"
"2026-03-16","Property Sauce Deposit","695.00","MOB, Property Sauce, F18LANCSTR DEPOSIT","internal transfer between Property Sauce accounts","1626078000010189185"
"2026-03-25","BUSINESS ACCOUNT","700.00","PROPERTY SAUCE BBL COVER CBBPIxxxxxxxxx9877 821974 10 25MAR26 07:49","own company or director transfer (decision 6), not tenant rent","1626078000010294003"
"2026-03-27","Property Sauce Deposit","610.00","MOB, Property Sauce, F21 CATT DEPOSIT","internal transfer between Property Sauce accounts","1626078000010326005"
"2026-03-30","Property Sauce Deposit","640.00","MOB, Property Sauce, F19 LANCSTR DEPOST","internal transfer between Property Sauce accounts","1626078000010374101"
"2026-03-30","Property Sauce Deposit","650.00","MOB, Property Sauce, F22 LANCSTR DEPOST","internal transfer between Property Sauce accounts","1626078000010374099"
"2026-03-31","Property Sauce Deposit","650.00","MOB, Property Sauce, F17 LANCSTR DEPOST","internal transfer between Property Sauce accounts","1626078000010398003"
"2026-04-07","Property Sauce","0.82","CRD95VM CASHBACK","card refund or cashback","1626078000010447299"
"2026-04-07","Property Sauce Deposit","358.00","MOB, Property Sauce, F26 LANCST DEPOSIT","internal transfer between Property Sauce accounts","1626078000010866015"
"2026-04-07","Property Sauce Fee","1.34","CRD09VM CASHBACK","card refund or cashback","1626078000010857173"
"2026-04-13","Property Sauce Deposit","1300.00","MOB, Property Sauce, JOAN ELINE DEPOSIT","internal transfer between Property Sauce accounts","1626078000010866013"
"2026-04-17","Property Sauce Deposit","650.00","MOB, Property Sauce, F29LANCSTR","internal transfer between Property Sauce accounts","1626078000010866012"
"2026-04-17","Property Sauce Deposit","650.00","MOB, Property Sauce, F25LANCSTR DEPOSIT","internal transfer between Property Sauce accounts","1626078000010866011"
"2026-04-17","Property Sauce Deposit","650.00","MOB, Property Sauce, F21LANCSTR DEPOSIT","internal transfer between Property Sauce accounts","1626078000010866010"
"2026-04-20","Property Sauce Deposit","650.00","MOB, Property Sauce, F24 LANCST DEPOSIT","internal transfer between Property Sauce accounts","1626078000010866009"
"2026-04-20","Property Sauce Deposit","650.00","MOB, Property Sauce, F23 LANCST DEPOSIT","internal transfer between Property Sauce accounts","1626078000010866008"
"2026-04-22","Property Sauce Deposit","650.00","MOB, Property Sauce, F20 LANCST DEPOSIT","internal transfer between Property Sauce accounts","1626078000010866004"
"2026-04-22","Property Sauce Deposit","650.00","MOB, Property Sauce, F27 LANCST DEPOSIT","internal transfer between Property Sauce accounts","1626078000010866003"
"2026-04-27","BUSINESS ACCOUNT","650.00","PROPERTY SAUCE BBL LOAN COVER CBBPIxxxxxxxxx7237 821974 10 26APR26 10:35","own company or director transfer (decision 6), not tenant rent","1626078000010722004"
"2026-05-05","Property Sauce","0.12","CRD95VM CASHBACK","card refund or cashback","1626078000010857086"
"2026-05-05","Property Sauce Fee","0.83","CRD09VM CASHBACK","card refund or cashback","1626078000010857090"
"2026-05-06","Property Sauce Deposit","650.00","MOB, Property Sauce, F1 LANCAST DEPOSIT","internal transfer between Property Sauce accounts","1626078000010878002"
"2026-05-07","Property Sauce Deposit","600.00","MOB, Property Sauce, F40 CATT DEPOSIT","internal transfer between Property Sauce accounts","1626078000010887030"
"2026-05-07","Property Sauce Deposit","600.00","MOB, Property Sauce, F38 CATT DEPOSIT","internal transfer between Property Sauce accounts","1626078000010887029"
"2026-05-11","Property Sauce","1200.00","MOB, Property Sauce, 10FORTITUDE COVER","internal transfer between Property Sauce accounts","1626078000010919074"
"2026-05-11","Property Sauce Deposit","600.00","MOB, Property Sauce, F9 CATT DEPOSIT","internal transfer between Property Sauce accounts","1626078000010926006"
"2026-05-12","Property Sauce Deposit","600.00","MOB, Property Sauce, F28 CATT DEPOSIT","internal transfer between Property Sauce accounts","1626078000010943005"
"2026-05-12","Property Sauce Deposit","650.00","MOB, Property Sauce, F3 LANCAST DEPOSIT","internal transfer between Property Sauce accounts","1626078000010943004"
"2026-05-18","Property Sauce Deposit","650.00","MOB, Property Sauce, F11 LANCST DEPOSIT","internal transfer between Property Sauce accounts","1626078000011055047"
"2026-05-18","Property Sauce Deposit","650.00","MOB, Property Sauce, F12 LANCST DEPOSIT","internal transfer between Property Sauce accounts","1626078000011055046"
"2026-05-18","Property Sauce Deposit","650.00","MOB, Property Sauce, F9 LANCST DEPOSIT","internal transfer between Property Sauce accounts","1626078000011055045"
"2026-05-18","Property Sauce Deposit","650.00","MOB, Property Sauce, F30 LANCST DEPOSIT","internal transfer between Property Sauce accounts","1626078000011055044"
"2026-05-21","Property Sauce Deposit","650.00","MOB, Property Sauce, F10 LANCS DEPOSIT","internal transfer between Property Sauce accounts","1626078000011128003"
"2026-05-22","Property Sauce Deposit","650.00","MOB, Property Sauce, F13 LANCST DEPOSIT","internal transfer between Property Sauce accounts","1626078000011114149"
"2026-05-22","Property Sauce Fee","550.00","MOB, Luxe Stay, CLEANING INV REIMB","own company or director transfer (decision 6), not tenant rent","1626078000011120118"
"2026-05-28","Property Sauce Deposit","750.00","MOB, Property Sauce, F43 LANCST DEPOSIT","internal transfer between Property Sauce accounts","1626078000011249008"
"2026-06-02","Property Sauce Fee","45.00","Card 09, Sp Wayofwade","card refund or cashback","1626078000011346042"
"2026-06-02","Property Sauce Fee","105.00","Card 09, Sp Wayofwade","card refund or cashback","1626078000011346041"
"2026-06-03","Property Sauce","1.16","CRD95VM CASHBACK","card refund or cashback","1626078000011346157"
"2026-06-03","Property Sauce Deposit","650.00","MOB, Property Sauce, F14 OLIVIA DEPOSIT","internal transfer between Property Sauce accounts","1626078000011346136"
"2026-06-03","Property Sauce Deposit","750.00","MOB, Property Sauce, F34 CHARLO DEPOSIT","internal transfer between Property Sauce accounts","1626078000011346135"
"2026-06-03","Property Sauce Deposit","750.00","MOB, Property Sauce, F39 JOSHUA DEPOSIT","internal transfer between Property Sauce accounts","1626078000011346134"
"2026-06-03","Property Sauce Fee","0.73","CRD09VM CASHBACK","card refund or cashback","1626078000011353010"
"2026-06-05","Property Sauce Deposit","650.00","MOB, Property Sauce, F35 DEPOSIT COLIN","internal transfer between Property Sauce accounts","1626078000011397057"
"2026-06-05","Property Sauce Deposit","750.00","MOB, Property Sauce, F35 DEPOSIT LAVEND","internal transfer between Property Sauce accounts","1626078000011397056"
"2026-06-08","Property Sauce Deposit","500.00","MOB, Property Sauce, F4 DANIEL DEPOSIT","internal transfer between Property Sauce accounts","1626078000011443002"
"2026-06-09","BUSINESS ACCOUNT","4.50","REFUND OF RETURNED ITEM FEE","fee, refund or repayment from a third party, not rent","1626078000011443061"
"2026-06-11","Property Sauce","4000.00","MOB, Property Sauce, STL LANCASTER","internal transfer between Property Sauce accounts","1626078000011494007"
"2026-06-15","Property Sauce","300.00","FPS, Tanc Residential L, Management","own company or director transfer (decision 6), not tenant rent","1626078000011562288"
"2026-06-15","Property Sauce Fee","62.32","MOB, Property Sauce, 2THE CORNFIELD FEE","internal transfer between Property Sauce accounts","1626078000011680124"
"2026-06-15","Property Sauce Fee","300.00","MOB, Property Sauce, TANC RESD MANGMNET","internal transfer between Property Sauce accounts","1626078000011680123"
"2026-06-16","Property Sauce Deposit","525.00","MOB, Property Sauce, F20 A ALI DEPOSIT","internal transfer between Property Sauce accounts","1626078000011550211"
"2026-06-18","Property Sauce Deposit","650.00","MOB, Property Sauce, F1 Robson DEPOSIT","internal transfer between Property Sauce accounts","1626078000011589025"
"2026-06-18","Property Sauce Deposit","650.00","MOB, Property Sauce, F8 Assuman DEPOSIT","internal transfer between Property Sauce accounts","1626078000011589024"
"2026-06-18","Property Sauce Deposit","750.00","MOB, Property Sauce, F42 Michael DEPOSI","internal transfer between Property Sauce accounts","1626078000011589023"
"2026-06-18","Property Sauce Fee","37.80","MOB, Property Sauce, F1 LORD STREET FEE","internal transfer between Property Sauce accounts","1626078000011680120"
"2026-06-18","Property Sauce Fee","45.90","MOB, Property Sauce, F9 LORD STREET FEE","internal transfer between Property Sauce accounts","1626078000011680119"
"2026-06-18","Property Sauce Fee","52.47","MOB, Property Sauce, F7 LORD STREET FEE","internal transfer between Property Sauce accounts","1626078000011680118"
"2026-06-18","Property Sauce Fee","193.80","MOB, Property Sauce, 72D KINGSWOOD FEE","internal transfer between Property Sauce accounts","1626078000011680117"
"2026-06-18","Property Sauce Fee","259.65","MOB, Property Sauce, FF 225 CHURCH FEE","internal transfer between Property Sauce accounts","1626078000011680116"
"2026-06-22","Property Sauce Fee","73.88","MOB, Property Sauce, F3 LEABRIDGE FEE","internal transfer between Property Sauce accounts","1626078000011680115"
"2026-06-23","Property Sauce Deposit","695.00","MOB, Property Sauce, F41 DEPOSIT Spence","internal transfer between Property Sauce accounts","1626078000011679003"
"2026-06-23","Property Sauce Fee","35.39","MOB, Property Sauce, F8 LORD STREET FEE","internal transfer between Property Sauce accounts","1626078000011680114"
"2026-06-25","BUSINESS ACCOUNT","750.00","PROPERTY SAUCE BBL COVER CBBPIxxxxxxxxx6644 821974 10 25JUN26 14:50","own company or director transfer (decision 6), not tenant rent","1626078000011744087"
"2026-06-25","Property Sauce","3300.00","FPS, Beaucatt Homes Lim, STLrepay","own company or director transfer (decision 6), not tenant rent","1626078000011758020"
"2026-06-25","Property Sauce Fee","180.00","MOB, Property Sauce, F1 LEABRIDGE FEE","internal transfer between Property Sauce accounts","1626078000011750061"
"2026-06-25","Property Sauce Fee","198.75","MOB, Property Sauce, 72C KINGSWOOD FEE","internal transfer between Property Sauce accounts","1626078000011750060"
"2026-06-25","Property Sauce Fee","262.35","MOB, Property Sauce, GF 55 COOPERS FEE","internal transfer between Property Sauce accounts","1626078000011750059"
"2026-06-29","Property Sauce Fee","37.80","MOB, Property Sauce, F2 LORD STREET FEE","internal transfer between Property Sauce accounts","1626078000011760193"
"2026-06-29","Property Sauce Fee","46.76","MOB, Property Sauce, 45A SEAVIEW RD FEE","internal transfer between Property Sauce accounts","1626078000011760192"
"2026-06-29","Property Sauce Fee","50.88","MOB, Property Sauce, 96PEARCRAFT RD FEE","internal transfer between Property Sauce accounts","1626078000011760191"
"2026-06-29","Property Sauce Fee","470.00","MOB, Property Sauce, 26 KENILWORTH FEE","internal transfer between Property Sauce accounts","1626078000011760190"
"2026-06-30","Property Sauce Fee","47.70","MOB, Property Sauce, F6 LORD STREET FEE","internal transfer between Property Sauce accounts","1626078000011825003"
"2026-06-30","Property Sauce Fee","240.00","MOB, Property Sauce, 1 ONSLOW CLOSE FEE","internal transfer between Property Sauce accounts","1626078000011825002"
"2026-07-01","Property Sauce Fee","80.89","MOB, Property Sauce, F1 LEABRIDGE FEE","internal transfer between Property Sauce accounts","1626078000011836010"
"2026-07-03","Property Sauce","0.47","CRD95VM CASHBACK","card refund or cashback","1626078000011883024"
"2026-07-03","Property Sauce Deposit","600.00","MOB, Property Sauce, F36 JONAS DEPOSIT","internal transfer between Property Sauce accounts","1626078000011883002"
"2026-07-03","Property Sauce Fee","0.18","CRD09VM CASHBACK","card refund or cashback","1626078000011883005"
"2026-07-03","Property Sauce Fee","168.30","MOB, Property Sauce, 127C GRANGE PA FEE","internal transfer between Property Sauce accounts","1626078000011883004"
"2026-07-06","Property Sauce Deposit","550.00","MOB, Property Sauce, F6 JACKSON DEPOSIT","internal transfer between Property Sauce accounts","1626078000011884508"
